cycle_number,step_type,time_in_cycle_s,voltage_V,current_A,temperature_C,step_capacity_Ah,absolute_time
1,rest,0.0,3.3,0.0,25.0,0.0,2026-01-01 12:00:00
1,rest,300.0,3.2667,0.0,25.0,0.0,2026-01-01 13:00:00
1,rest,600.0,3.2333,0.0,25.2,0.0,2026-01-01 14:00:00
1,cccv_charge,900.0,3.3,102.0,25.0,17.357,2026-01-01 12:00:00
1,cccv_charge,1200.0,3.3167,102.0,24.8,34.714,2026-01-01 13:00:00
1,cccv_charge,1500.0,3.3333,102.0,25.1,52.071,2026-01-01 14:00:00
1,cccv_charge,1800.0,3.35,102.0,25.4,69.428,2026-01-01 15:00:00
1,cccv_charge,2100.0,3.3667,102.0,25.3,86.785,2026-01-01 16:00:00
1,cccv_charge,2400.0,3.3833,102.0,24.8,104.142,2026-01-01 17:00:00
1,rest,2700.0,3.3,0.0,24.6,0.0,2026-01-01 12:00:00
1,rest,3000.0,3.2667,0.0,24.8,0.0,2026-01-01 13:00:00
1,rest,3300.0,3.2333,0.0,25.0,0.0,2026-01-01 14:00:00
1,cc_discharge,3600.0,3.3,-102.0,24.3,17.357,2026-01-01 12:00:00
1,cc_discharge,3900.0,3.3167,-102.0,24.9,34.714,2026-01-01 13:00:00
1,cc_discharge,4200.0,3.3333,-102.0,24.6,52.071,2026-01-01 14:00:00
1,cc_discharge,4500.0,3.35,-102.0,24.8,69.428,2026-01-01 15:00:00
1,cc_discharge,4800.0,3.3667,-102.0,24.8,86.785,2026-01-01 16:00:00
1,cc_discharge,5100.0,3.3833,-102.0,24.9,104.142,2026-01-01 17:00:00
2,rest,0.0,3.3,0.0,25.1,0.0,2026-01-01 16:00:00
2,rest,300.0,3.2667,0.0,25.3,0.0,2026-01-01 17:00:00
2,rest,600.0,3.2333,0.0,25.0,0.0,2026-01-01 18:00:00
2,cccv_charge,900.0,3.3,102.0,25.4,17.2436,2026-01-01 16:00:00
2,cccv_charge,1200.0,3.3167,102.0,24.8,34.4872,2026-01-01 17:00:00
2,cccv_charge,1500.0,3.3333,102.0,25.1,51.7308,2026-01-01 18:00:00
2,cccv_charge,1800.0,3.35,102.0,25.3,68.9744,2026-01-01 19:00:00
2,cccv_charge,2100.0,3.3667,102.0,25.0,86.2181,2026-01-01 20:00:00
2,cccv_charge,2400.0,3.3833,102.0,24.8,103.4617,2026-01-01 21:00:00
2,rest,2700.0,3.3,0.0,24.7,0.0,2026-01-01 16:00:00
2,rest,3000.0,3.2667,0.0,24.9,0.0,2026-01-01 17:00:00
2,rest,3300.0,3.2333,0.0,25.1,0.0,2026-01-01 18:00:00
2,cc_discharge,3600.0,3.3,-102.0,24.7,17.2436,2026-01-01 16:00:00
2,cc_discharge,3900.0,3.3167,-102.0,24.9,34.4872,2026-01-01 17:00:00
2,cc_discharge,4200.0,3.3333,-102.0,25.0,51.7308,2026-01-01 18:00:00
2,cc_discharge,4500.0,3.35,-102.0,25.2,68.9744,2026-01-01 19:00:00
2,cc_discharge,4800.0,3.3667,-102.0,25.1,86.2181,2026-01-01 20:00:00
2,cc_discharge,5100.0,3.3833,-102.0,25.1,103.4617,2026-01-01 21:00:00
3,rest,0.0,3.3,0.0,24.8,0.0,2026-01-01 20:00:00
3,rest,300.0,3.2667,0.0,25.0,0.0,2026-01-01 21:00:00
3,rest,600.0,3.2333,0.0,25.2,0.0,2026-01-01 22:00:00
3,cccv_charge,900.0,3.3,102.0,25.4,17.1415,2026-01-01 20:00:00
3,cccv_charge,1200.0,3.3167,102.0,24.6,34.2831,2026-01-01 21:00:00
3,cccv_charge,1500.0,3.3333,102.0,25.5,51.4246,2026-01-01 22:00:00
3,cccv_charge,1800.0,3.35,102.0,25.4,68.5662,2026-01-01 23:00:00
3,cccv_charge,2100.0,3.3667,102.0,25.2,85.7077,2026-01-02 00:00:00
3,cccv_charge,2400.0,3.3833,102.0,25.1,102.8492,2026-01-02 01:00:00
3,rest,2700.0,3.3,0.0,24.9,0.0,2026-01-01 20:00:00
3,rest,3000.0,3.2667,0.0,25.4,0.0,2026-01-01 21:00:00
3,rest,3300.0,3.2333,0.0,25.6,0.0,2026-01-01 22:00:00
3,cc_discharge,3600.0,3.3,-102.0,25.5,17.1415,2026-01-01 20:00:00
3,cc_discharge,3900.0,3.3167,-102.0,25.4,34.2831,2026-01-01 21:00:00
3,cc_discharge,4200.0,3.3333,-102.0,25.1,51.4246,2026-01-01 22:00:00
3,cc_discharge,4500.0,3.35,-102.0,24.6,68.5662,2026-01-01 23:00:00
3,cc_discharge,4800.0,3.3667,-102.0,25.0,85.7077,2026-01-02 00:00:00
3,cc_discharge,5100.0,3.3833,-102.0,25.2,102.8492,2026-01-02 01:00:00
4,rest,0.0,3.3,0.0,24.6,0.0,2026-01-02 00:00:00
4,rest,300.0,3.2667,0.0,25.1,0.0,2026-01-02 01:00:00
4,rest,600.0,3.2333,0.0,25.1,0.0,2026-01-02 02:00:00
4,cccv_charge,900.0,3.3,102.0,25.2,17.0462,2026-01-02 00:00:00
4,cccv_charge,1200.0,3.3167,102.0,24.6,34.0924,2026-01-02 01:00:00
