cycle_number,step_type,time_in_cycle_s,voltage_V,current_A,temperature_C,step_capacity_Ah,absolute_time
1,rest,0.0,3.3,0.0,45.1,0.0,2026-01-01 12:00:00
1,rest,300.0,3.2667,0.0,45.1,0.0,2026-01-01 13:00:00
1,rest,600.0,3.2333,0.0,45.1,0.0,2026-01-01 14:00:00
1,cccv_charge,900.0,3.3,51.0,44.9,17.238,2026-01-01 12:00:00
1,cccv_charge,1200.0,3.3167,51.0,45.4,34.476,2026-01-01 13:00:00
1,cccv_charge,1500.0,3.3333,51.0,44.9,51.714,2026-01-01 14:00:00
1,cccv_charge,1800.0,3.35,51.0,44.6,68.952,2026-01-01 15:00:00
1,cccv_charge,2100.0,3.3667,51.0,45.3,86.19,2026-01-01 16:00:00
1,cccv_charge,2400.0,3.3833,51.0,45.6,103.428,2026-01-01 17:00:00
1,rest,2700.0,3.3,0.0,44.7,0.0,2026-01-01 12:00:00
1,rest,3000.0,3.2667,0.0,45.0,0.0,2026-01-01 13:00:00
1,rest,3300.0,3.2333,0.0,44.8,0.0,2026-01-01 14:00:00
1,cc_discharge,3600.0,3.3,-51.0,44.9,17.238,2026-01-01 12:00:00
1,cc_discharge,3900.0,3.3167,-51.0,45.0,34.476,2026-01-01 13:00:00
1,cc_discharge,4200.0,3.3333,-51.0,44.6,51.714,2026-01-01 14:00:00
1,cc_discharge,4500.0,3.35,-51.0,44.9,68.952,2026-01-01 15:00:00
1,cc_discharge,4800.0,3.3667,-51.0,44.6,86.19,2026-01-01 16:00:00
1,cc_discharge,5100.0,3.3833,-51.0,44.8,103.428,2026-01-01 17:00:00
2,rest,0.0,3.3,0.0,44.6,0.0,2026-01-01 16:00:00
2,rest,300.0,3.2667,0.0,44.7,0.0,2026-01-01 17:00:00
2,rest,600.0,3.2333,0.0,44.5,0.0,2026-01-01 18:00:00
2,cccv_charge,900.0,3.3,51.0,45.4,17.0364,2026-01-01 16:00:00
2,cccv_charge,1200.0,3.3167,51.0,45.2,34.0728,2026-01-01 17:00:00
2,cccv_charge,1500.0,3.3333,51.0,44.4,51.1093,2026-01-01 18:00:00
2,cccv_charge,1800.0,3.35,51.0,44.8,68.1457,2026-01-01 19:00:00
2,cccv_charge,2100.0,3.3667,51.0,44.8,85.1821,2026-01-01 20:00:00
2,cccv_charge,2400.0,3.3833,51.0,44.8,102.2185,2026-01-01 21:00:00
2,rest,2700.0,3.3,0.0,44.6,0.0,2026-01-01 16:00:00
2,rest,3000.0,3.2667,0.0,45.2,0.0,2026-01-01 17:00:00
2,rest,3300.0,3.2333,0.0,44.9,0.0,2026-01-01 18:00:00
2,cc_discharge,3600.0,3.3,-51.0,45.1,17.0364,2026-01-01 16:00:00
2,cc_discharge,3900.0,3.3167,-51.0,45.2,34.0728,2026-01-01 17:00:00
2,cc_discharge,4200.0,3.3333,-51.0,45.4,51.1093,2026-01-01 18:00:00
2,cc_discharge,4500.0,3.35,-51.0,44.5,68.1457,2026-01-01 19:00:00
2,cc_discharge,4800.0,3.3667,-51.0,45.5,85.1821,2026-01-01 20:00:00
2,cc_discharge,5100.0,3.3833,-51.0,45.4,102.2185,2026-01-01 21:00:00
3,rest,0.0,3.3,0.0,45.2,0.0,2026-01-01 20:00:00
3,rest,300.0,3.2667,0.0,45.7,0.0,2026-01-01 21:00:00
3,rest,600.0,3.2333,0.0,45.1,0.0,2026-01-01 22:00:00
3,cccv_charge,900.0,3.3,51.0,45.2,16.855,2026-01-01 20:00:00
3,cccv_charge,1200.0,3.3167,51.0,44.8,33.7099,2026-01-01 21:00:00
3,cccv_charge,1500.0,3.3333,51.0,45.3,50.5649,2026-01-01 22:00:00
3,cccv_charge,1800.0,3.35,51.0,45.1,67.4199,2026-01-01 23:00:00
3,cccv_charge,2100.0,3.3667,51.0,44.9,84.2748,2026-01-02 00:00:00
3,cccv_charge,2400.0,3.3833,51.0,45.6,101.1298,2026-01-02 01:00:00
3,rest,2700.0,3.3,0.0,44.9,0.0,2026-01-01 20:00:00
3,rest,3000.0,3.2667,0.0,45.0,0.0,2026-01-01 21:00:00
3,rest,3300.0,3.2333,0.0,44.9,0.0,2026-01-01 22:00:00
3,cc_discharge,3600.0,3.3,-51.0,44.8,16.855,2026-01-01 20:00:00
3,cc_discharge,3900.0,3.3167,-51.0,45.2,33.7099,2026-01-01 21:00:00
3,cc_discharge,4200.0,3.3333,-51.0,45.2,50.5649,2026-01-01 22:00:00
3,cc_discharge,4500.0,3.35,-51.0,45.1,67.4199,2026-01-01 23:00:00
3,cc_discharge,4800.0,3.3667,-51.0,44.3,84.2748,2026-01-02 00:00:00
3,cc_discharge,5100.0,3.3833,-51.0,45.3,101.1298,2026-01-02 01:00:00
4,rest,0.0,3.3,0.0,44.9,0.0,2026-01-02 00:00:00
4,rest,300.0,3.2667,0.0,44.6,0.0,2026-01-02 01:00:00
4,rest,600.0,3.2333,0.0,45.2,0.0,2026-01-02 02:00:00
4,cccv_charge,900.0,3.3,51.0,45.2,16.6855,2026-01-02 00:00:00
4,cccv_charge,1200.0,3.3167,51.0,44.7,33.3709,2026-01-02 01:00:00
4,cccv_charge,1500.0,3.3333,51.0,45.7,50.0564,2026-01-02 02:00:00
4,cccv_charge,1800.0,3.35,51.0,44.6,66.7418,2026-01-02 03:00:00
4,cccv_charge,2100.0,3.3667,51.0,44.5,83.4273,2026-01-02 04:00:00
4,cccv_charge,2400.0,3.3833,51.0,44.7,100.1127,2026-01-02 05:00:00
4,rest,2700.0,3.3,0.0,45.4,0.0,2026-01-02 00:00:00
4,rest,3000.0,3.2667,0.0,44.9,0.0,2026-01-02 01:00:00
4,rest,3300.0,3.2333,0.0,44.9,0.0,2026-01-02 02:00:00
4,cc_discharge,3600.0,3.3,-51.0,45.0,16.6855,2026-01-02 00:00:00
4,cc_discharge,3900.0,3.3167,-51.0,44.8,33.3709,2026-01-02 01:00:00
4,cc_discharge,4200.0,3.3333,-51.0,44.8,50.0564,2026-01-02 02:00:00
4,cc_discharge,4500.0,3.35,-51.0,44.8,66.7418,2026-01-02 03:00:00
4,cc_discharge,4800.0,3.3667,-51.0,45.2,83.4273,2026-01-02 04:00:00
4,cc_discharge,5100.0,3.3833,-51.0,45.3,100.1127,2026-01-02 05:00:00
5,rest,0.0,3.3,0.0,44.7,0.0,2026-01-02 04:00:00
5,rest,300.0,3.2667,0.0,45.1,0.0,2026-01-02 05:00:00
5,rest,600.0,3.2333,0.0,45.2,0.0,2026-01-02 06:00:00
5,cccv_charge,900.0,3.3,51.0,44.7,16.5243,2026-01-02 04:00:00
5,cccv_charge,1200.0,3.3167,51.0,44.8,33.0486,2026-01-02 05:00:00
5,cccv_charge,1500.0,3.3333,51.0,44.7,49.5729,2026-01-02 06:00:00
5,cccv_charge,1800.0,3.35,51.0,44.6,66.0972,2026-01-02 07:00:00
5,cccv_charge,2100.0,3.3667,51.0,45.0,82.6215,2026-01-02 08:00:00
5,cccv_charge,2400.0,3.3833,51.0,44.8,99.1458,2026-01-02 09:00:00
5,rest,2700.0,3.3,0.0,45.2,0.0,2026-01-02 04:00:00
5,rest,3000.0,3.2667,0.0,45.0,0.0,2026-01-02 05:00:00
5,rest,3300.0,3.2333,0.0,45.1,0.0,2026-01-02 06:00:00
5,cc_discharge,3600.0,3.3,-51.0,44.9,16.5243,2026-01-02 04:00:00
5,cc_discharge,3900.0,3.3167,-51.0,44.8,33.0486,2026-01-02 05:00:00
5,cc_discharge,4200.0,3.3333,-51.0,45.0,49.5729,2026-01-02 06:00:00
5,cc_discharge,4500.0,3.35,-51.0,45.0,66.0972,2026-01-02 07:00:00
5,cc_discharge,4800.0,3.3667,-51.0,44.8,82.6215,2026-01-02 08:00:00
5,cc_discharge,5100.0,3.3833,-51.0,45.1,99.1458,2026-01-02 09:00:00
6,rest,0.0,3.3,0.0,45.2,0.0,2026-01-02 08:00:00
6,rest,300.0,3.2667,0.0,45.0,0.0,2026-01-02 09:00:00
6,rest,600.0,3.2333,0.0,45.5,0.0,2026-01-02 10:00:00
6,cccv_charge,900.0,3.3,51.0,44.8,16.3695,2026-01-02 08:00:00
6,cccv_charge,1200.0,3.3167,51.0,45.2,32.739,2026-01-02 09:00:00
6,cccv_charge,1500.0,3.3333,51.0,44.9,49.1085,2026-01-02 10:00:00
6,cccv_charge,1800.0,3.35,51.0,45.1,65.4781,2026-01-02 11:00:00
6,cccv_charge,2100.0,3.3667,51.0,44.8,81.8476,2026-01-02 12:00:00
6,cccv_charge,2400.0,3.3833,51.0,45.3,98.2171,2026-01-02 13:00:00
6,rest,2700.0,3.3,0.0,45.1,0.0,2026-01-02 08:00:00
6,rest,3000.0,3.2667,0.0,45.4,0.0,2026-01-02 09:00:00
6,rest,3300.0,3.2333,0.0,44.6,0.0,2026-01-02 10:00:00
6,cc_discharge,3600.0,3.3,-51.0,44.9,16.3695,2026-01-02 08:00:00
6,cc_discharge,3900.0,3.3167,-51.0,44.7,32.739,2026-01-02 09:00:00
6,cc_discharge,4200.0,3.3333,-51.0,44.8,49.1085,2026-01-02 10:00:00
6,cc_discharge,4500.0,3.35,-51.0,44.8,65.4781,2026-01-02 11:00:00
6,cc_discharge,4800.0,3.3667,-51.0,45.0,81.8476,2026-01-02 12:00:00
6,cc_discharge,5100.0,3.3833,-51.0,45.0,98.2171,2026-01-02 13:00:00
7,rest,0.0,3.3,0.0,45.0,0.0,2026-01-02 12:00:00
7,rest,300.0,3.2667,0.0,44.8,0.0,2026-01-02 13:00:00
7,rest,600.0,3.2333,0.0,45.1,0.0,2026-01-02 14:00:00
7,cccv_charge,900.0,3.3,51.0,45.3,16.2198,2026-01-02 12:00:00
7,cccv_charge,1200.0,3.3167,51.0,44.7,32.4397,2026-01-02 13:00:00
7,cccv_charge,1500.0,3.3333,51.0,45.0,48.6595,2026-01-02 14:00:00
7,cccv_charge,1800.0,3.35,51.0,45.0,64.8793,2026-01-02 15:00:00
7,cccv_charge,2100.0,3.3667,51.0,45.1,81.0991,2026-01-02 16:00:00
7,cccv_charge,2400.0,3.3833,51.0,45.0,97.319,2026-01-02 17:00:00
7,rest,2700.0,3.3,0.0,45.0,0.0,2026-01-02 12:00:00
7,rest,3000.0,3.2667,0.0,44.7,0.0,2026-01-02 13:00:00
7,rest,3300.0,3.2333,0.0,45.0,0.0,2026-01-02 14:00:00
7,cc_discharge,3600.0,3.3,-51.0,44.7,16.2198,2026-01-02 12:00:00
7,cc_discharge,3900.0,3.3167,-51.0,45.2,32.4397,2026-01-02 13:00:00
7,cc_discharge,4200.0,3.3333,-51.0,45.0,48.6595,2026-01-02 14:00:00
7,cc_discharge,4500.0,3.35,-51.0,45.0,64.8793,2026-01-02 15:00:00
7,cc_discharge,4800.0,3.3667,-51.0,44.7,81.0991,2026-01-02 16:00:00
7,cc_discharge,5100.0,3.3833,-51.0,45.2,97.319,2026-01-02 17:00:00
8,rest,0.0,3.3,0.0,45.2,0.0,2026-01-02 16:00:00
8,rest,300.0,3.2667,0.0,45.3,0.0,2026-01-02 17:00:00
8,rest,600.0,3.2333,0.0,45.7,0.0,2026-01-02 18:00:00
8,cccv_charge,900.0,3.3,51.0,45.0,16.0744,2026-01-02 16:00:00
8,cccv_charge,1200.0,3.3167,51.0,45.4,32.1488,2026-01-02 17:00:00
8,cccv_charge,1500.0,3.3333,51.0,45.0,48.2231,2026-01-02 18:00:00
8,cccv_charge,1800.0,3.35,51.0,45.1,64.2975,2026-01-02 19:00:00
8,cccv_charge,2100.0,3.3667,51.0,45.1,80.3719,2026-01-02 20:00:00
8,cccv_charge,2400.0,3.3833,51.0,45.1,96.4463,2026-01-02 21:00:00
8,rest,2700.0,3.3,0.0,45.2,0.0,2026-01-02 16:00:00
8,rest,3000.0,3.2667,0.0,44.9,0.0,2026-01-02 17:00:00
8,rest,3300.0,3.2333,0.0,45.0,0.0,2026-01-02 18:00:00
8,cc_discharge,3600.0,3.3,-51.0,45.2,16.0744,2026-01-02 16:00:00
8,cc_discharge,3900.0,3.3167,-51.0,45.5,32.1488,2026-01-02 17:00:00
8,cc_discharge,4200.0,3.3333,-51.0,44.7,48.2231,2026-01-02 18:00:00
8,cc_discharge,4500.0,3.35,-51.0,44.5,64.2975,2026-01-02 19:00:00
8,cc_discharge,4800.0,3.3667,-51.0,44.9,80.3719,2026-01-02 20:00:00
8,cc_discharge,5100.0,3.3833,-51.0,45.0,96.4463,2026-01-02 21:00:00
9,rest,0.0,3.3,0.0,45.1,0.0,2026-01-02 20:00:00
9,rest,300.0,3.2667,0.0,45.0,0.0,2026-01-02 21:00:00
9,rest,600.0,3.2333,0.0,45.4,0.0,2026-01-02 22:00:00
9,cccv_charge,900.0,3.3,51.0,45.3,15.9325,2026-01-02 20:00:00
9,cccv_charge,1200.0,3.3167,51.0,45.0,31.865,2026-01-02 21:00:00
9,cccv_charge,1500.0,3.3333,51.0,44.9,47.7976,2026-01-02 22:00:00
9,cccv_charge,1800.0,3.35,51.0,44.9,63.7301,2026-01-02 23:00:00
9,cccv_charge,2100.0,3.3667,51.0,44.9,79.6626,2026-01-03 00:00:00
9,cccv_charge,2400.0,3.3833,51.0,44.9,95.5951,2026-01-03 01:00:00
9,rest,2700.0,3.3,0.0,44.5,0.0,2026-01-02 20:00:00
9,rest,3000.0,3.2667,0.0,44.9,0.0,2026-01-02 21:00:00
9,rest,3300.0,3.2333,0.0,44.9,0.0,2026-01-02 22:00:00
9,cc_discharge,3600.0,3.3,-51.0,44.9,15.9325,2026-01-02 20:00:00
9,cc_discharge,3900.0,3.3167,-51.0,44.9,31.865,2026-01-02 21:00:00
9,cc_discharge,4200.0,3.3333,-51.0,45.2,47.7976,2026-01-02 22:00:00
9,cc_discharge,4500.0,3.35,-51.0,44.8,63.7301,2026-01-02 23:00:00
9,cc_discharge,4800.0,3.3667,-51.0,44.9,79.6626,2026-01-03 00:00:00
9,cc_discharge,5100.0,3.3833,-51.0,45.2,95.5951,2026-01-03 01:00:00
10,rest,0.0,3.3,0.0,44.9,0.0,2026-01-03 00:00:00
10,rest,300.0,3.2667,0.0,45.1,0.0,2026-01-03 01:00:00
10,rest,600.0,3.2333,0.0,45.2,0.0,2026-01-03 02:00:00
10,cccv_charge,900.0,3.3,51.0,45.1,15.7938,2026-01-03 00:00:00
10,cccv_charge,1200.0,3.3167,51.0,45.1,31.5876,2026-01-03 01:00:00
10,cccv_charge,1500.0,3.3333,51.0,44.9,47.3814,2026-01-03 02:00:00
10,cccv_charge,1800.0,3.35,51.0,45.2,63.1752,2026-01-03 03:00:00
10,cccv_charge,2100.0,3.3667,51.0,45.1,78.969,2026-01-03 04:00:00
10,cccv_charge,2400.0,3.3833,51.0,44.8,94.7628,2026-01-03 05:00:00
10,rest,2700.0,3.3,0.0,45.0,0.0,2026-01-03 00:00:00
10,rest,3000.0,3.2667,0.0,44.6,0.0,2026-01-03 01:00:00
10,rest,3300.0,3.2333,0.0,44.7,0.0,2026-01-03 02:00:00
10,cc_discharge,3600.0,3.3,-51.0,44.4,15.7938,2026-01-03 00:00:00
10,cc_discharge,3900.0,3.3167,-51.0,44.8,31.5876,2026-01-03 01:00:00
10,cc_discharge,4200.0,3.3333,-51.0,45.4,47.3814,2026-01-03 02:00:00
10,cc_discharge,4500.0,3.35,-51.0,44.8,63.1752,2026-01-03 03:00:00
10,cc_discharge,4800.0,3.3667,-51.0,45.2,78.969,2026-01-03 04:00:00
10,cc_discharge,5100.0,3.3833,-51.0,45.0,94.7628,2026-01-03 05:00:00
11,rest,0.0,3.3,0.0,44.8,0.0,2026-01-03 04:00:00
11,rest,300.0,3.2667,0.0,45.4,0.0,2026-01-03 05:00:00
11,rest,600.0,3.2333,0.0,45.2,0.0,2026-01-03 06:00:00
11,cccv_charge,900.0,3.3,51.0,44.5,15.6578,2026-01-03 04:00:00
11,cccv_charge,1200.0,3.3167,51.0,45.3,31.3156,2026-01-03 05:00:00
11,cccv_charge,1500.0,3.3333,51.0,44.7,46.9735,2026-01-03 06:00:00
11,cccv_charge,1800.0,3.35,51.0,44.9,62.6313,2026-01-03 07:00:00
11,cccv_charge,2100.0,3.3667,51.0,45.2,78.2891,2026-01-03 08:00:00
11,cccv_charge,2400.0,3.3833,51.0,44.9,93.9469,2026-01-03 09:00:00
11,rest,2700.0,3.3,0.0,45.3,0.0,2026-01-03 04:00:00
11,rest,3000.0,3.2667,0.0,45.2,0.0,2026-01-03 05:00:00
11,rest,3300.0,3.2333,0.0,44.5,0.0,2026-01-03 06:00:00
11,cc_discharge,3600.0,3.3,-51.0,44.9,15.6578,2026-01-03 04:00:00
11,cc_discharge,3900.0,3.3167,-51.0,45.1,31.3156,2026-01-03 05:00:00
