Cycle,SOH_true,Temperature (degC),Current (C-rate)
1,,25,1.0
2,,25,1.0
3,,25,1.0
4,,25,1.0
5,,25,1.0
6,,25,1.0
7,,25,1.0
8,,25,1.0
9,,25,1.0
10,,25,1.0
11,,25,1.0
12,,25,1.0
13,,25,1.0
14,,25,1.0
15,,25,1.0
16,,25,1.0
17,,25,1.0
18,,25,1.0
19,,25,1.0
20,,25,1.0
21,,25,1.0
22,,25,1.0
23,,25,1.0
24,,25,1.0
25,,25,1.0
26,,25,1.0
27,,25,1.0
28,,25,1.0
29,,25,1.0
30,,25,1.0
31,,25,1.0
32,,25,1.0
33,,25,1.0
34,,25,1.0
35,,25,1.0
36,,25,1.0
37,,25,1.0
38,,25,1.0
39,,25,1.0
40,,25,1.0
1,,45,0.5
2,,45,0.5
3,,45,0.5
4,,45,0.5
5,,45,0.5
6,,45,0.5
7,,45,0.5
8,,45,0.5
9,,45,0.5
10,,45,0.5
11,,45,0.5
12,,45,0.5
13,,45,0.5
14,,45,0.5
15,,45,0.5
16,,45,0.5
17,,45,0.5
18,,45,0.5
19,,45,0.5
20,,45,0.5
21,,45,0.5
22,,45,0.5
23,,45,0.5
24,,45,0.5
25,,45,0.5
26,,45,0.5
27,,45,0.5
28,,45,0.5
29,,45,0.5
30,,45,0.5
31,,45,0.5
32,,45,0.5
33,,45,0.5
34,,45,0.5
35,,45,0.5
36,,45,0.5
37,,45,0.5
38,,45,0.5
39,,45,0.5
40,,45,0.5
1,,30,0.7
2,,30,0.7
3,,30,0.7
4,,30,0.7
5,,30,0.7
6,,30,0.7
7,,30,0.7
8,,30,0.7
9,,30,0.7
10,,30,0.7
11,,30,0.7
12,,30,0.7
13,,30,0.7
14,,30,0.7
15,,30,0.7
16,,30,0.7
17,,30,0.7
18,,30,0.7
19,,30,0.7
20,,30,0.7
21,,30,0.7
22,,30,0.7
23,,30,0.7
24,,30,0.7
25,,30,0.7
26,,30,0.7
27,,30,0.7
28,,30,0.7
29,,30,0.7
30,,30,0.7
31,,30,0.7
32,,30,0.7
33,,30,0.7
34,,30,0.7
35,,30,0.7
36,,30,0.7
37,,30,0.7
38,,30,0.7
39,,30,0.7
40,,30,0.7
